x,y,v,theta
7.3842987,-12.8722626,6.2927604,1.2614472759066442
7.4452206,-12.6816493,6.3537358,1.2528549648520364
7.5079807,-12.4909507,6.4194865,1.246785812998959
7.5713955,-12.3021298,6.4898956,1.2433394443434407
7.6358639,-12.1123415,6.5584478,1.2424046425658262
7.7003729,-11.923015,6.6221758,1.2438443726432158
7.7645471,-11.7337791,6.589651,1.2475854093802945
7.8283094,-11.5434193,6.5115546,1.2535346406719767
7.8905246,-11.3539428,6.4268982,1.261593016242344
7.9514876,-11.163105,6.3446014,1.271605697269253
8.0104269,-10.9720226,6.267791,1.283342404242512
8.0671691,-10.7800939,6.1941558,1.2966365582143176
8.1213423,-10.5874724,6.1228385,1.311369901318032
8.172697,-10.3939786,6.0549366,1.327392684819184
8.2208838,-10.199933,5.9880706,1.3446720640017473
8.2658035,-10.0046799,5.9244278,1.363093918860507
8.3070684,-9.8088719,5.8616927,1.382580974956882
8.3444765,-9.6124728,5.8003559,1.4031119384370436
8.3779644,-9.4146402,5.7399891,1.424502236774249
8.4069749,-9.2177543,5.6800734,1.4467954555977038
8.4318629,-9.0180758,5.6208801,1.4698586766184931
8.4520276,-8.8189809,5.5618427,1.4933784244111015
8.4674049,-8.6207507,5.5029937,1.517399325795278
8.4781628,-8.4194721,5.4442082,1.5416355885939452
8.4839957,-8.219503,5.385376,1.5655445729324478
8.4850392,-8.0208093,5.3264631,1.588891937533
8.4814152,-7.8205616,5.2673644,1.6112533639313311
8.4732985,-7.6200459,5.2080783,1.6319479631029206
8.4610778,-7.4204525,5.1486617,1.6505057911836785
8.4451826,-7.2214608,5.0892111,1.6668788872862268
8.4260418,-7.0228622,5.0299189,1.6816003431499345
8.403981,-6.8245802,4.9710696,1.6958004416494512
8.3791042,-6.62661,4.9129649,1.711153759644648
8.3511833,-6.4289909,4.8716109,1.7290611848642106
8.3197141,-6.231815,4.8503013,1.7497642032417067
8.2841457,-6.0351996,4.8296667,1.7730575795729926
8.2439633,-5.8392503,4.8099187,1.7986266144937968
8.1987071,-5.6440592,4.7912305,1.8259361352142625
8.1480897,-5.449992,4.7737867,1.8543330563953544
8.0923912,-5.2588427,4.7581449,1.8833782942163506
8.0310082,-5.0689064,4.7441433,1.91285960790566
7.9638243,-4.8802194,4.7317958,1.94252247536061
7.8908182,-4.6929524,4.7210642,1.9719824299974602
7.8130484,-4.5096161,4.7130529,2.001087156913417
7.7296641,-4.3279403,4.7068759,2.029928566999059
7.6407152,-4.148016,4.7023082,2.058323612952819
7.5471846,-3.9716151,4.7003604,2.0861770619561484
7.4486597,-3.7976794,4.7003648,2.1135918302772936
7.3450465,-3.6259171,4.7017595,2.140493968526155
7.237366,-3.4578087,4.7057966,2.166859520075575
7.125044,-3.2922331,4.7113082,2.1927960603920447
7.0083042,-3.1294007,4.7181141,2.2182643396836594
6.8878223,-2.9700788,4.7273439,2.243294130724683
6.7631262,-2.8134899,4.7375192,2.2679597926580235
6.6346989,-2.6601349,4.7492624,2.2922690595031936
6.5025753,-2.5099393,4.7625717,2.3162668284964556
6.3668715,-2.3629419,4.7766859,2.3399999525446296
6.2277226,-2.2192115,4.7925775,2.3634983307375026
6.0852183,-2.0787738,4.8093351,2.386793768824428
5.939606,-1.9418108,4.8270211,2.4099403999495252
5.7906254,-1.8080415,4.8461012,2.4329557470909564
5.6388437,-1.6779401,4.865763,2.45586384612858
5.4840186,-1.5512652,4.8864583,2.4787104764131307
5.3262307,-1.4280749,4.9079463,2.501478092582732
5.1660877,-1.3088129,4.9299098,2.524211740704086
5.0027661,-1.1928607,4.9526987,2.546932761216636
4.8370501,-1.0807827,4.97581,2.5695765306997846
4.6692879,-0.9727746,4.9991948,2.592204163170397
4.4983344,-0.8681059,5.0227726,2.6148042562085836
4.3254771,-0.7675702,5.0461992,2.6372939597697944
4.1507618,-0.6711453,5.0694699,2.659731685841355
3.9732132,-0.5782912,5.0918197,2.6821170982392357
3.7940132,-0.4896238,5.1133006,2.7044057285961323
3.6130735,-0.4050619,5.1338355,2.7266588946187613
3.4299506,-0.3243945,5.1520869,2.7489275781974833
3.2452694,-0.2479044,5.1683314,2.771249242682083
3.0589218,-0.1755534,5.1826549,2.7937013948002845
2.8709514,-0.1073877,5.1937579,2.81635892898787
2.6816638,-0.0435584,5.2017028,2.839316721595962
2.4907153,0.0159854,5.2072712,2.86264076231079
2.2983987,0.0710687,5.2096613,2.886342225351087
2.1053257,0.1214496,5.2087883,2.910486051472004
1.9104971,0.1672949,5.2061057,2.935088712818119
1.7146417,0.2083247,5.2011396,2.9600518734988572
1.5184952,0.2443297,5.194554,2.9853777408203563
1.320437,0.2755235,5.1874549,3.010997286826739
1.1224659,0.3015256,5.180151,3.0368167389102774
0.9238267,0.3224147,5.1743556,3.06266299295229
0.7235093,0.3382586,5.1695478,3.088222050069195
0.5248471,0.3488714,5.1176092,3.11365389539751
0.3243213,0.3544753,5.0631282,3.1391312394145165
0.124721,0.3549666,5.0085201,-3.118471797531977
-0.0752792,0.3503416,4.9533329,-3.092790032205593
-0.2753185,0.3405714,4.8975585,-3.067165501514152
-0.4743921,0.3257275,4.840088,-3.0416078315943134
-0.6740844,0.3056945,4.7818884,-3.016178113110026
-0.8718671,0.2807588,4.7205707,-2.990913950635889
-1.070482,0.2506032,4.6587386,-2.965829844300743
-1.2666335,0.2157676,4.5926117,-2.9409638217593344
-1.4633352,0.1757654,4.5261204,-2.916255681798463
-1.6577107,0.1312087,4.4555428,-2.8917179303429283
-1.8520236,0.0816184,4.3845619,-2.8672506644235765
-2.0441822,0.0275376,4.310462,-2.8427994011823756
-2.2356933,-0.0314506,4.23608,-2.8182464923397568
-2.4251315,-0.0949327,4.1600311,-2.7935039794711933
-2.6133731,-0.1632388,4.0836695,-2.7684373452073965
-2.7995607,-0.2361308,4.0056522,-2.7429332988629946
-2.9839782,-0.31381,3.9272781,-2.716825415949049
-3.1663021,-0.3962756,3.8470983,-2.6899497732465725
-3.3462132,-0.4835474,3.7664896,-2.662090426536448
-3.5238958,-0.5759385,3.6838162,-2.6330129219923717
-3.6984267,-0.6732387,3.6005758,-2.6024246646420233
-3.8704067,-0.7761342,3.514915,-2.569976270154513
-4.038381,-0.8841839,3.4284036,-2.5352613773597708
-4.2031271,-0.9984307,3.3390212,-2.4977691140401777
-4.3628747,-1.1183219,3.2483986,-2.45690266448068
-4.5181031,-1.2450578,3.1548673,-2.411835575181639
-4.6671054,-1.3783374,3.0598782,-2.3616704685322234
-4.8093144,-1.5189974,2.9628028,-2.3051029398626453
-4.9435378,-1.6676879,2.8657282,-2.2409612625321818
-5.0672918,-1.8238399,2.7686542,-2.1674561944616886
-5.180191,-1.9900528,2.676999,-2.083347471025817
-5.2776065,-2.1631704,2.5877238,-1.9870075737103279
-5.3589186,-2.3471195,2.5095561,-1.877332432439544
-5.4192527,-2.5377411,2.4382045,-1.7561692203827204
-5.455929,-2.7333211,2.3757524,-1.6236056902696498
-5.4666081,-2.9353529,2.311154,-1.4857738126519742
